Subj,Dyad,Player,A,SigmaX,SigmaY
1,1,1,0.917992102233625,4.99999987353989e-05,0.00182191319480999
2,1,2,0.900000000218496,4.99999999144554e-05,0.000251332386188438
3,2,1,0.999076068430319,4.68891145071914e-06,0.0240782643409875
4,2,2,0.999999900303231,2.89256796542016e-06,0.0283748477847066
5,3,1,0.994871199945119,2.37173201776017e-06,0.0997113728943239
6,3,2,0.986724515015574,6.18936384974116e-06,0.0999999742656725
7,4,1,0.99999999894653,4.99999992999208e-05,0.000354051330468969
8,4,2,0.999999999972836,1.48705128863243e-05,0.0999999992238535
9,5,1,0.999999989322987,2.67767074192438e-06,0.0999989299045014
10,5,2,0.999999989119537,3.99899398036774e-06,0.0999994222907337
11,6,1,0.988002673491437,5.24440831166422e-07,0.00055934052169088
12,6,2,0.900000052365777,4.99999177339455e-05,0.000461744965886847
13,7,1,0.995511603721214,5.11358598587829e-06,0.0999711487514749
14,7,2,0.99999999996463,1.54742205363172e-13,0.0999999251330466
15,8,1,0.994119515552694,1.10240684193363e-05,0.0999999744599464
16,8,2,0.999999973185082,2.68234786550115e-06,0.0999981028165231
17,9,1,0.999753339430644,5.2079393317984e-06,0.099999773562055
18,9,2,0.99999995477528,3.05284934062532e-06,0.0999982205267708
19,10,1,0.989782405494187,9.25416027404441e-06,0.0999984993239372
20,10,2,0.98710487563938,3.49197693414655e-05,0.0999995959824986
21,11,1,0.999991328022673,8.52178661618308e-07,0.0912544214119937
22,11,2,0.999453184755042,2.75783912886823e-11,0.00293489343544361
23,12,1,0.900000002806051,4.99999994436335e-05,0.000237803516933084
24,12,2,0.999974558812669,3.08324864796282e-07,0.000307309413285252
25,13,1,0.99193297922357,6.37865195667878e-06,0.00626291397739389
26,13,2,0.999999996457997,4.99999996072844e-05,0.00102556181770325
27,14,1,0.946297417000024,4.99999837614778e-05,0.000748564091846143
28,14,2,0.999999470939004,5.28686162411056e-06,0.0521349537000911
29,15,1,0.999999904126303,1.13392999852911e-06,0.0999751260208452
30,15,2,0.996232499218681,4.68163198064314e-06,0.0999856707086986
31,16,1,0.992104674231992,4.99999429242772e-05,0.0256237325450163
32,16,2,0.997636857568651,8.61855732456209e-06,0.00984612273010862
33,17,1,0.999999999455993,4.33883513450883e-13,0.0999994769027154
34,17,2,0.999999737029321,4.04180759222512e-09,0.0127981635489544
35,18,1,0.99287717981118,7.61449553939161e-06,0.0999838094698903
36,18,2,0.999998984054708,2.45020378403399e-07,0.0978150692565617
